timestamp,property,language
2014-11-03T17:32:12Z,P1591,en
2014-11-05T01:22:04Z,P1591,hu
2014-11-05T14:34:08Z,P1591,sr
2014-11-06T11:03:43Z,P1591,ru
2014-11-08T10:54:12Z,P1591,pl
2014-11-10T20:18:05Z,P1591,nb
2014-11-12T22:04:55Z,P1591,be
2014-11-13T07:51:24Z,P1591,fr
2014-11-19T11:06:15Z,P1591,ca
2014-11-25T13:07:45Z,P1591,nl
2014-11-26T11:43:45Z,P1591,de
2014-11-27T14:37:50Z,P1591,el
2014-12-05T00:31:48Z,P1591,it
2015-01-15T00:00:05Z,P1591,mk
2015-03-07T02:27:46Z,P1591,ja
2015-03-11T22:49:37Z,P1591,bs
2015-03-18T15:35:21Z,P1591,nds
2015-04-16T03:49:44Z,P1591,es
2015-07-03T13:53:06Z,P1591,pt
2016-01-13T22:44:12Z,P1591,ko
2016-06-13T09:38:28Z,P1591,en-gb
2016-06-21T19:10:40Z,P1591,sv
2016-07-24T17:59:38Z,P1591,zh-hk
2016-07-24T17:59:39Z,P1591,yue
2016-07-25T11:59:42Z,P1591,ar
2016-08-19T08:20:38Z,P1591,cs
2016-08-25T21:15:47Z,P1591,ku-latn
2016-11-16T06:31:51Z,P1591,zh
2017-01-02T11:08:17Z,P1591,zh-cn
2017-01-02T11:16:08Z,P1591,zh-hans
2017-05-12T18:35:14Z,P1591,zh-hant
2017-09-25T06:40:20Z,P1591,zh-mo
2017-09-29T04:57:20Z,P1591,zh-my
2017-09-29T04:57:21Z,P1591,zh-sg
2017-10-01T23:18:59Z,P1591,zh-tw
2017-12-05T16:00:32Z,P1591,da
2017-12-05T16:00:33Z,P1591,fi
2017-12-16T18:39:39Z,P1591,uk
2018-02-08T11:31:48Z,P1591,bn
2018-06-29T22:33:59Z,P1591,he
2015-11-21T16:19:25Z,P2330,fr
2015-11-21T16:19:49Z,P2330,en
2015-11-23T09:37:49Z,P2330,ru
2015-11-30T12:10:44Z,P2330,de
2015-12-23T19:01:27Z,P2330,mk
2016-01-07T15:57:57Z,P2330,nl
2016-01-07T18:42:31Z,P2330,ar
2016-01-24T20:15:27Z,P2330,nb
2016-02-02T13:24:48Z,P2330,lv
2016-03-09T15:05:55Z,P2330,da
2016-06-10T08:03:09Z,P2330,it
2016-06-13T11:56:56Z,P2330,fo
2016-06-13T18:24:47Z,P2330,es
2016-09-28T10:37:04Z,P2330,cs
2017-03-17T09:41:03Z,P2330,ca
2017-12-23T13:29:39Z,P2330,uk
2017-09-07T07:42:14Z,P4202,en
2017-09-07T08:22:59Z,P4202,sv
2017-09-07T10:47:46Z,P4202,ru
2017-09-08T00:14:23Z,P4202,mk
2017-10-23T08:28:32Z,P4202,fr
2017-12-16T15:18:46Z,P4202,uk
2017-12-22T10:33:26Z,P4202,ar
2017-12-08T20:58:33Z,P4629,en
2017-12-08T21:18:15Z,P4629,nl
2017-12-12T09:20:35Z,P4629,fr
2017-12-12T15:14:42Z,P4629,uk
2017-12-29T10:43:02Z,P4629,mk
2018-02-09T13:28:58Z,P4629,it
2018-03-04T21:24:11Z,P4629,ar
2018-07-19T23:14:40Z,P4629,es
2018-07-20T05:58:35Z,P4629,de
2018-07-27T18:56:38Z,P4629,ca
2018-07-31T07:02:12Z,P4629,be-tarask
2013-05-11T16:07:47Z,P507,sv
2013-05-11T16:08:53Z,P507,en
2013-05-12T05:35:33Z,P507,cs
2013-05-12T10:05:03Z,P507,de
2013-05-12T13:03:15Z,P507,ca
2013-05-12T14:10:46Z,P507,it
2013-05-12T20:02:02Z,P507,fa
2013-05-16T09:11:07Z,P507,nds
2013-05-16T23:50:16Z,P507,mk
2013-05-18T23:17:05Z,P507,pl
2013-05-22T10:53:56Z,P507,vi
2013-05-27T00:27:35Z,P507,es
2013-06-18T20:37:29Z,P507,el
2013-06-25T08:29:35Z,P507,ru
2013-06-27T08:35:31Z,P507,ms
2013-06-27T08:45:05Z,P507,nl
2013-07-04T21:41:37Z,P507,be
2013-07-28T07:29:11Z,P507,fi
2013-09-14T18:56:14Z,P507,pt
2013-09-15T18:23:52Z,P507,oc
2013-09-29T19:23:49Z,P507,fr
2014-01-28T11:09:36Z,P507,da
2014-03-20T20:18:33Z,P507,eo
2014-04-11T09:35:17Z,P507,nb
2014-09-02T02:30:26Z,P507,en-gb
2014-09-10T20:47:08Z,P507,ia
2016-03-27T19:04:58Z,P507,hu
2017-03-13T13:13:02Z,P507,cy
2017-08-14T14:30:45Z,P507,zh-hans
2017-08-14T14:30:54Z,P507,zh-hant
2017-09-21T14:52:44Z,P507,ar
2017-12-17T10:35:06Z,P507,uk
2018-05-23T09:29:04Z,P507,ko
2018-06-05T16:49:12Z,P507,ja
2014-01-09T17:05:31Z,P1064,en
2014-01-09T20:59:09Z,P1064,hu
2014-01-10T10:07:23Z,P1064,ru
2014-01-11T08:39:22Z,P1064,fr
2014-01-11T10:05:38Z,P1064,de
2014-01-18T10:37:22Z,P1064,ca
2014-01-18T16:16:17Z,P1064,ko
2014-01-19T13:43:11Z,P1064,pl
2014-01-24T22:17:12Z,P1064,fa
2014-01-26T13:53:25Z,P1064,el
2014-01-28T10:13:09Z,P1064,be
2014-02-01T14:38:10Z,P1064,zh-hk
2014-02-01T14:38:12Z,P1064,zh
2014-02-01T14:38:23Z,P1064,zh-cn
2014-02-27T09:54:37Z,P1064,nl
2014-04-07T10:54:54Z,P1064,br
2014-04-26T13:45:47Z,P1064,en-gb
2014-06-03T17:04:55Z,P1064,it
2014-06-06T12:30:16Z,P1064,cs
2014-06-08T20:03:37Z,P1064,sr
2014-06-08T20:03:40Z,P1064,sr-ec
2014-06-08T20:03:45Z,P1064,sr-el
2014-08-11T17:09:04Z,P1064,sv
2014-08-11T17:11:23Z,P1064,nb
2014-08-11T17:11:40Z,P1064,da
2014-08-22T11:28:44Z,P1064,es
2014-09-06T04:24:51Z,P1064,ja
2014-09-23T17:14:33Z,P1064,mk
2014-11-06T12:31:23Z,P1064,scn
2015-01-19T11:29:12Z,P1064,zh-hans
2015-01-19T11:29:28Z,P1064,zh-hant
2015-03-11T23:03:52Z,P1064,bs
2015-06-21T16:38:56Z,P1064,fi
2015-08-14T12:18:27Z,P1064,pt
