revid,timestamp,label,description,alias,action,language,property
557122259,2017-09-12T13:21:45Z,en,,,add,en,P4212
558081920,2017-09-13T12:15:56Z,fr,,,add,fr,P4212
558081924,2017-09-13T12:15:57Z,,fr,,add,fr,P4212
558106533,2017-09-13T13:16:24Z,,en,,update,en,P4212
561563370,2017-09-18T18:29:48Z,,,fr,add,fr,P4212
569126117,2017-09-29T18:33:46Z,it,,,add,it,P4212
569126123,2017-09-29T18:33:46Z,,it,,add,it,P4212
569126129,2017-09-29T18:33:47Z,,,it,add,it,P4212
569369385,2017-09-30T00:19:56Z,,,en,add,en,P4212
577330415,2017-10-14T15:25:44Z,nl,,,add,nl,P4212
608686751,2017-12-14T16:19:11Z,be-tarask,,,add,be-tarask,P4212
608686767,2017-12-14T16:19:12Z,,be-tarask,,add,be-tarask,P4212
608686781,2017-12-14T16:19:12Z,,,be-tarask,add,be-tarask,P4212
615020103,2017-12-29T14:44:04Z,ca,,,add,ca,P4212
616648990,2018-01-04T21:51:53Z,uk,,,add,uk,P4212
621431432,2018-01-18T04:13:31Z,mk,,,add,mk,P4212
632249872,2018-02-17T14:24:41Z,ar,,,add,ar,P4212
632249879,2018-02-17T14:24:42Z,,,ar,add,ar,P4212
644404852,2018-03-06T10:22:30Z,,uk,,add,uk,P4212
644405049,2018-03-06T10:23:09Z,uk,,,update,uk,P4212
644405055,2018-03-06T10:23:10Z,,,uk,add,uk,P4212
685115410,2018-05-26T03:39:36Z,ko,,,add,ko,P4212
685115411,2018-05-26T03:39:36Z,,,ko,add,ko,P4212
708599343,2018-07-09T19:39:09Z,he,,,add,he,P4212
722861804,2018-08-08T10:15:58Z,es,,,add,es,P4212
722861878,2018-08-08T10:16:13Z,,,es,add,es,P4212
723272297,2018-08-09T12:26:13Z,nn,,,add,nn,P4212
475561864,2017-04-16T17:36:01Z,en,,,add,en,P3862
476255294,2017-04-18T12:06:18Z,fr,,,add,fr,P3862
476255299,2017-04-18T12:06:19Z,,fr,,add,fr,P3862
477132767,2017-04-21T15:45:42Z,de,,,add,de,P3862
477132774,2017-04-21T15:45:43Z,,de,,add,de,P3862
477258995,2017-04-22T04:07:40Z,nl,,,add,nl,P3862
484056927,2017-05-10T13:56:51Z,nl,,,update,nl,P3862
496174859,2017-06-06T09:47:06Z,,,ar,add,ar,P3862
496175282,2017-06-06T09:47:53Z,ar,,,add,ar,P3862
496175288,2017-06-06T09:47:54Z,,,ar,update,ar,P3862
499419760,2017-06-11T13:46:03Z,da,,,add,da,P3862
616110248,2018-01-03T12:35:42Z,uk,,,add,uk,P3862
637903057,2018-02-24T14:57:27Z,,uk,,add,uk,P3862
661881120,2018-04-06T08:42:49Z,it,,,add,it,P3862
661881124,2018-04-06T08:42:49Z,,it,,add,it,P3862
661881148,2018-04-06T08:42:54Z,,it,,update,it,P3862
688869376,2018-06-02T07:41:22Z,th,,,add,th,P3862
688869387,2018-06-02T07:41:23Z,,,th,add,th,P3862
711020419,2018-07-15T04:43:51Z,,,en,add,en,P3862
93933669,2013-12-16T19:21:09Z,it,,,add,it,P1055
93933847,2013-12-16T19:21:56Z,en,,,add,en,P1055
93933892,2013-12-16T19:22:11Z,,en,,add,en,P1055
93933999,2013-12-16T19:22:45Z,,it,,update,it,P1055
93934068,2013-12-16T19:23:02Z,it,,,update,it,P1055
93934192,2013-12-16T19:23:31Z,,,it,add,it,P1055
93961451,2013-12-16T20:54:53Z,de,,,add,de,P1055
93961689,2013-12-16T20:55:59Z,,de,,add,de,P1055
93961790,2013-12-16T20:56:17Z,,de,,update,de,P1055
94365526,2013-12-17T21:50:41Z,fr,,,add,fr,P1055
94365854,2013-12-17T21:51:46Z,,fr,,add,fr,P1055
94366048,2013-12-17T21:52:26Z,,fr,,update,fr,P1055
94605720,2013-12-18T21:19:44Z,pt,,,add,pt,P1055
94605733,2013-12-18T21:19:47Z,,,pt,add,pt,P1055
94630143,2013-12-18T23:03:05Z,pl,,,add,pl,P1055
95487541,2013-12-21T16:27:48Z,es,,,add,es,P1055
95487665,2013-12-21T16:28:42Z,,es,,add,es,P1055
95742979,2013-12-22T20:03:10Z,el,,,add,el,P1055
95743447,2013-12-22T20:05:51Z,,el,,add,el,P1055
95765384,2013-12-22T22:30:54Z,,en,,update,en,P1055
95765417,2013-12-22T22:31:04Z,,it,,update,it,P1055
95974354,2013-12-24T10:20:51Z,ru,,,add,ru,P1055
95974444,2013-12-24T10:22:01Z,,ru,,add,ru,P1055
97175160,2013-12-30T09:36:55Z,be,,,add,be,P1055
97175183,2013-12-30T09:37:03Z,,be,,add,be,P1055
98028224,2014-01-03T16:47:09Z,hu,,,add,hu,P1055
99231522,2014-01-07T10:16:58Z,nl,,,add,nl,P1055
104403697,2014-01-23T09:20:06Z,ca,,,add,ca,P1055
104573425,2014-01-24T00:24:55Z,fa,,,add,fa,P1055
113907648,2014-03-04T17:05:13Z,da,,,add,da,P1055
113907741,2014-03-04T17:05:56Z,,da,,add,da,P1055
116060345,2014-03-13T17:15:13Z,ko,,,add,ko,P1055
119408450,2014-04-07T12:35:40Z,br,,,add,br,P1055
119408624,2014-04-07T12:36:29Z,,br,,add,br,P1055
135575239,2014-05-31T23:14:03Z,sco,,,add,sco,P1055
